"month","activity_index","momentum","labor_utilization"
2014-03-01,93.7513175886675,53.5140213700459,104.504044034587
2014-04-01,93.881118713637,66.731656356731,103.810463965805
2014-05-01,93.8597914448018,85.4350182681476,103.141235287093
2014-06-01,93.9146445103653,60.2884575290296,103.275888992272
2014-07-01,93.9588270239282,55.6873700394789,102.649696563189
2014-08-01,94.0132751795915,59.7585230369911,103.128369985211
2014-09-01,94.125071740219,62.7257542118531,103.083777388735
2014-10-01,94.2314043688413,65.8542791755391,102.955114195974
2014-11-01,94.3930538448633,70.9231396564627,104.43981896398
2014-12-01,94.5405931698587,72.490628291362,104.433962904636
2015-01-01,94.5401000039495,67.5718305285443,103.381669317135
2015-02-01,94.6240104217027,63.7154248323323,103.228982031687
2015-03-01,94.6323995149893,56.4175665408157,103.427985725412
2015-04-01,94.6184021595886,55.6899818744096,101.731499965692
2015-05-01,94.7898691181691,60.3413200096285,102.390432883633
2015-06-01,94.8631643222744,63.6762031995006,102.071017892045
2015-07-01,94.9624730132403,69.179316843854,102.850047844778
2015-08-01,95.2451255770211,74.0566672988115,104.170551468037
2015-09-01,95.1286586768278,65.3778388543037,101.869756012085
2015-10-01,95.293951769266,68.5346163171326,102.702000236312
2015-11-01,95.4390478726827,61.7326305152012,104.237629477202
2015-12-01,95.4762307943466,69.2553347579122,103.96353531493
2016-01-01,95.4060782828072,57.4595682570432,102.7133907731
2016-02-01,95.627915139803,61.453603051345,102.639669475166
2016-03-01,95.8576037378494,70.7306110485113,103.040798088512
2016-04-01,95.9225779165375,76.3996176077064,102.803528582686
2016-05-01,96.0646120957838,73.1110169479975,103.838324428332
2016-06-01,96.0323131903734,60.6857835713788,102.652094147997
2016-07-01,96.2424489521313,67.8368242394361,103.109344645238
2016-08-01,96.3254077262787,64.984747908242,102.554444883564
2016-09-01,96.4794312638633,73.4711051000709,103.168364407152
2016-10-01,96.5646173492975,67.8943514896752,103.783660195155
2016-11-01,96.716994443826,71.0319332586124,102.966301687832
2016-12-01,96.6432184605272,60.0681638497897,102.752489587631
2017-01-01,96.6545896946534,56.2174131613714,103.41441418491
2017-02-01,96.9135280276122,61.7131801300623,103.575867626103
2017-03-01,96.9236393230155,65.8569690484733,103.138026943874
2017-04-01,97.0302015296618,70.2662357401949,103.553913472491
2017-05-01,97.0130547875405,56.7014807773439,102.997145077603
2017-06-01,97.0849880012159,59.9047958773395,101.652008595204
2017-07-01,97.1858835694455,59.605501001191,101.823476841061
2017-08-01,97.2085663965441,61.6314677257544,101.164201397547
2017-09-01,97.3418763215423,64.6610057568482,101.556491655655
2017-10-01,97.5349672834897,68.9833561703952,102.902049669649
2017-11-01,97.4299891871416,62.9051392005651,101.885748336882
2017-12-01,97.4260850584194,55.8778937311741,100.784260436279
2018-01-01,97.6439849906743,57.1616103575217,99.9131815789046
2018-02-01,97.8601535186032,72.492868783172,101.384410067318
2018-03-01,97.9200616735197,75.1009682519424,100.293694528901
2018-04-01,98.1877173012147,76.9693951097345,101.869162680515
